Age,Growth,Shoe size,Course number,Year of birth,Friend number,Russian rating,Maths rating,Physics rating,Computer science rating,Chemistry rating,Literature rating,History rating,Geography rating,Biology rating,Foreign language rating,Social science rating,Distance to home km,Minutes to first class,Children number,Removed teeth,Weight,Glasses,Sex,Problems in last semester,Coin,Rock paper scissors,Animal,Month of birthday,Your rating in university,Fastfood,Height of 5000 mm,Width of 5000 mm,Putin age,Army,Hostel,Hair length,Floor number,Social network duration min,Chocolate,City population,Strange people,Your insitute,Brother-sister,Plane seat,MIddle and index finger,Middle and ring finger,Middle and little finger
19,160,36,2,2002,1000,82,0,0,0,0,63,0,0,0,0,0,1000,120,,,50,нет,женский,нет,Орел,Ножницы,Кошек,11,выше средней по университету,KFC,5,100,60,не призовут (по разным причинам),нет,80,11,180,Баунти,1000000,Математический и ИТ,СоцГум,есть и брат и сестра,У окна (пардон: у иллюминатора),3,4,5
20,167,39,3,2001,180,70,27,0,0,0,0,0,55,0,0,70,900,180,2,5,57,нет,женский,нет,Решка,Бумага,Кошек,10,выше средней по университету,KFC,5,100,66,не призовут (по разным причинам),нет,45,8,840,Твикс,80,Математический и ИТ,Другое,нет ни брата ни сестры,У окна (пардон: у иллюминатора),8,5,12
21,159,36,5,2000,520,85,16,0,0,0,0,58,0,0,0,78,1006,50,2,0,46,да,женский,нет,Орел,Ножницы,Кошек,11,выше средней по университету,Бургер кинг,70,150,69,не призовут (по разным причинам),нет,39,4,300,Баунти,780000,Математический и ИТ,Юридический,есть брат,У окна (пардон: у иллюминатора),10,8,25
21,168,39,4,2001,400,91,100,0,0,0,77,0,0,0,0,81,1200,60,3,0,66,да,женский,нет,Решка,Ножницы,Собак,6,выше средней по университету,Макдональдс (или как он там сейчас называется?),75,130,70,не призовут (по разным причинам),нет,60,5,200,Твикс,800000,Естественный (биология-химия-физика-технари),СоцГум,есть сестра,У окна (пардон: у иллюминатора),10,10,35
21,161,36,3,2001,12,91,18,0,0,0,0,0,0,0,0,68,0,120,0,0,53,нет,женский,нет,Решка,Ножницы,Кошек,2,выше средней по университету,KFC,9,20,70,не призовут (по разным причинам),нет,30,12,240,Милки Вей,800000,Педагогический,Педагогический,нет ни брата ни сестры,У прохода,5,15,40
21,168,40,4,2001,100,91,45,0,0,0,64,0,0,0,0,76,700,40,,1,,да,женский,да,Решка,Ножницы,Кошек,3,выше средней по университету,Макдональдс (или как он там сейчас называется?),40,80,69,не призовут (по разным причинам),нет,50,7,200,Натс,2.6,Экономический,СоцГум,нет ни брата ни сестры,У прохода,6,10,30
22,161,38,7,2000,50,91,74,0,0,0,0,0,0,61,0,0,0,45,,,52,нет,женский,нет,Орел,Бумага,Кошек,5,выше средней по университету,KFC,65,200,68,не призовут (по разным причинам),нет,40,6,1800,Натс,850000,Математический и ИТ,Другое,есть брат,У окна (пардон: у иллюминатора),5,13,35
21,160,37,4,2001,221,94,76,0,0,0,0,0,0,0,0,81,0,90,,,50,простите. не увидел(а) вопроса )))),женский,нет,Орел,Камень,Кошек,4,выше средней по университету,Бургер кинг,55,120,69,не призовут (по разным причинам),нет,50,16,0,Сникерс,800000,Педагогический,Экономический,нет ни брата ни сестры,У окна (пардон: у иллюминатора),9,10,32
22,168,38,4,2000,49,100,56,0,0,0,0,0,0,0,0,68,616,60,0,0,,да,женский,нет,Орел,Ножницы,Кошек,4,ниже средней по университету,Бургер кинг,50,150,69,не призовут (по разным причинам),нет,40,4,240,КитКат,500000,Педагогический,Экономический,нет ни брата ни сестры,У окна (пардон: у иллюминатора),10,5,20
20,162,37,2,2002,70,82,0,0,0,0,0,88,0,0,0,82,1093,60,0,0,50,нет,женский,нет,Орел,Камень,Кошек,6,выше средней по университету,Макдональдс (или как он там сейчас называется?),50,100,69,не призовут (по разным причинам),нет,20,14,540,Твикс,900,СоцГум,Юридический,есть сестра,У прохода,4,11,25
21,164,37,4,2000,260,86,0,0,0,0,82,0,0,0,0,88,0,30,0,0,57,да,женский,нет,Орел,Бумага,Кошек,12,выше средней по университету,Макдональдс (или как он там сейчас называется?),50,80,67,не призовут (по разным причинам),нет,45,2,60,Милки Вей,900000,Математический и ИТ,СоцГум,есть брат,У окна (пардон: у иллюминатора),10,6,30
29,176,39,7,1992,233,72,69,0,0,0,0,0,0,0,0,81,0,30,2,1,70,нет,женский,нет,Орел,Ножницы,Кошек,10,выше средней по университету,Бургер кинг,0,0,72,могут призвать,нет,10,17,60,Сникерс,850000,Математический и ИТ,Экономический,есть сестра,У окна (пардон: у иллюминатора),7,11,30
20,158,37,3,2001,21,91,56,0,0,0,0,0,65,0,0,0,0,80,0.5,0,44,да,женский,нет,Орел,Бумага,Кошек,10,выше средней по университету,Бургер кинг,100,700,60,не призовут (по разным причинам),нет,25,7,120,Милки Вей,700000,Математический и ИТ,Естественный (биология-химия-физика-технари),нет ни брата ни сестры,У прохода,9,10,35
18,176,38,2,2003,183,90,0,0,0,0,59,0,0,0,95,55,727,120,1,0,58,простите. не увидел(а) вопроса )))),женский,нет,Решка,Ножницы,Кошек,11,выше средней по университету,Бургер кинг,50,150,68,не призовут (по разным причинам),нет,70,15,240,Марс,854627,Естественный (биология-химия-физика-технари),СоцГум,есть сестра,У окна (пардон: у иллюминатора),16,13,28
21,162,38,7,2000,150,89,0,0,0,0,0,65,0,0,40,0,27,120,3,1,52,да,женский,нет,Решка,Ножницы,Кошек,8,ниже средней по университету,Бургер кинг,50,130,70,не призовут (по разным причинам),нет,60,1,300,Твикс,800000,СоцГум,СоцГум,есть и брат и сестра,У окна (пардон: у иллюминатора),13,12,40
23,155,36,6,1999,90,91,51,0,0,0,0,0,0,0,0,71,0,90,1,0,50,нет,женский,нет,Решка,Камень,Кошек,4,выше средней по университету,Бургер кинг,80,150,69,не призовут (по разным причинам),нет,70,8,100,Баунти,900000,Математический и ИТ,Математический и ИТ,есть сестра,У окна (пардон: у иллюминатора),5,4,3
21,170,39,4,2001,123,76,0,0,0,0,0,72,0,0,0,72,200,90,2.5,1,,нет,женский,нет,Орел,Камень,Кошек,4,выше средней по университету,KFC,7,140,68,не призовут (по разным причинам),нет,50,4,360,Сникерс,800000,СоцГум,Юридический,есть и брат и сестра,У окна (пардон: у иллюминатора),3,2,7
20,176,42,3,2001,80,85,0,0,0,0,0,71,0,0,0,85,0,45,2,0,62,да,мужской,нет,Орел,Ножницы,Кошек,12,выше средней по университету,KFC,80,100,68,могут призвать,нет,2,2,120,Сникерс,700000,СоцГум,Юридический,есть сестра,У окна (пардон: у иллюминатора),5,5,20
21,167,36,4,2000,120,98,56,0,0,0,0,0,0,67,0,66,350,60,2,,50,простите. не увидел(а) вопроса )))),женский,нет,Решка,Ножницы,Собак,12,выше средней по университету,Бургер кинг,40,120,67,не призовут (по разным причинам),нет,45,4,120,Твикс,8000000,Педагогический,Педагогический,есть сестра,У окна (пардон: у иллюминатора),10,5,25
23,168,39,7,1999,228,93,68,0,0,0,0,0,0,82,0,0,640,120,1.5,,59,да,женский,нет,Решка,Бумага,Кошек,3,выше средней по университету,KFC,65,115,69,не призовут (по разным причинам),нет,30,11,300,Твикс,770000,Естественный (биология-химия-физика-технари),Естественный (биология-химия-физика-технари),нет ни брата ни сестры,У окна (пардон: у иллюминатора),13,23,45
19,169,38,1,2003,0,73,5,0,0,0,0,83,0,0,63,0,0,20,0,0,43,да,женский,нет,Орел,Бумага,Ненавижу этих животных,1,выше средней по университету,Макдональдс (или как он там сейчас называется?),10,150,67,не призовут (по разным причинам),да,45,3,75,M&Ms,1250000,Педагогический,СоцГум,есть сестра,У окна (пардон: у иллюминатора),8,9,15
18,161,37,2,2003,11,98,0,0,0,0,0,0,0,56,0,65,710,40,2,1,51,да,женский,нет,Орел,Ножницы,Собак,9,выше средней по университету,Бургер кинг,42,970,64,не призовут (по разным причинам),нет,40,1,460,Твикс,1000000,Естественный (биология-химия-физика-технари),Другое,есть и брат и сестра,У окна (пардон: у иллюминатора),9,16,35
19,169,41,1,2003,22,82,86,0,0,0,0,0,0,0,0,75,463,120,1,,62,нет,женский,нет,Орел,Бумага,Кошек,2,выше средней по университету,Бургер кинг,70,150,75,не призовут (по разным причинам),нет,150,14,540,Твикс,850000,Естественный (биология-химия-физика-технари),Математический и ИТ,есть брат,У окна (пардон: у иллюминатора),9,15,25
18,164,39,2,2003,500,94,5,0,0,0,100,0,0,0,95,0,0,120,2,1,54,да,женский,нет,Орел,Ножницы,Кошек,8,выше средней по университету,KFC,50,150,70,не призовут (по разным причинам),нет,60,5,400,Твикс,800000,Юридический,СоцГум,нет ни брата ни сестры,У окна (пардон: у иллюминатора),7,10,35
